segment,start(s),end(s),bitrate(bps),bitrate(kbps),bitrate_norm
1,0.0,0.01,3905559,3905.559,1.809
2,0.01,0.02,3905559,3905.559,1.809
3,0.02,0.03,3905559,3905.559,1.809
4,0.03,0.04,2453597,2453.597,1.136
5,0.04,0.05,1727725,1727.725,0.8
6,0.05,0.06,1727725,1727.725,0.8
7,0.06,0.07,2924755,2924.755,1.354
8,0.07,0.08,5319173,5319.173,2.463
9,0.08,0.09,5319173,5319.173,2.463
10,0.09,0.1,5319173,5319.173,2.463
11,0.1,0.11,1181772,1181.772,0.547
12,0.11,0.12,1181772,1181.772,0.547
13,0.12,0.13,1181772,1181.772,0.547
14,0.13,0.14,6668473,6668.473,3.088
15,0.14,0.15,9411412,9411.412,4.358
16,0.15,0.16,9411412,9411.412,4.358
17,0.16,0.17,6650314,6650.314,3.08
18,0.17,0.18,1127291,1127.291,0.522
19,0.18,0.19,1127291,1127.291,0.522
20,0.19,0.2,1127291,1127.291,0.522
21,0.2,0.21,1924579,1924.579,0.891
22,0.21,0.22,1924579,1924.579,0.891
23,0.22,0.23,1924579,1924.579,0.891
24,0.23,0.24,1301002,1301.002,0.602
25,0.24,0.25,989260,989.260,0.458
26,0.25,0.26,989260,989.260,0.458
27,0.26,0.27,1298682,1298.682,0.601
28,0.27,0.28,1917619,1917.619,0.888
29,0.28,0.29,1917619,1917.619,0.888
30,0.29,0.3,1917619,1917.619,0.888
31,0.3,0.31,1088891,1088.891,0.504
32,0.31,0.32,1088891,1088.891,0.504
33,0.32,0.33,1088891,1088.891,0.504
34,0.33,0.34,1972896,1972.896,0.914
35,0.34,0.35,2414832,2414.832,1.118
36,0.35,0.36,2414832,2414.832,1.118
37,0.36,0.37,1930419,1930.419,0.894
38,0.37,0.38,961450,961.450,0.445
39,0.38,0.39,961450,961.450,0.445
40,0.39,0.4,961450,961.450,0.445
41,0.4,0.41,2636186,2636.186,1.221
42,0.41,0.42,2636186,2636.186,1.221
43,0.42,0.43,2636186,2636.186,1.221
44,0.43,0.44,1616423,1616.423,0.749
45,0.44,0.45,1106618,1106.618,0.512
46,0.45,0.46,1106618,1106.618,0.512
47,0.46,0.47,1482915,1482.915,0.687
48,0.47,0.48,2235622,2235.622,1.035
49,0.48,0.49,2235622,2235.622,1.035
50,0.49,0.5,2235622,2235.622,1.035
51,0.5,0.51,858969,858.969,0.398
52,0.51,0.52,858969,858.969,0.398
53,0.52,0.53,858969,858.969,0.398
54,0.53,0.54,1866982,1866.982,0.865
55,0.54,0.55,2370913,2370.913,1.098
56,0.55,0.56,2370913,2370.913,1.098
57,0.56,0.57,1947294,1947.294,0.902
58,0.57,0.58,1099931,1099.931,0.509
59,0.58,0.59,1099931,1099.931,0.509
60,0.59,0.6,1099931,1099.931,0.509
61,0.6,0.61,2758348,2758.348,1.277
62,0.61,0.62,2758348,2758.348,1.277
63,0.62,0.63,2758348,2758.348,1.277
64,0.63,0.64,1506735,1506.735,0.698
65,0.64,0.65,881022,881.022,0.408
66,0.65,0.66,881022,881.022,0.408
67,0.66,0.67,1466259,1466.259,0.679
68,0.67,0.68,2636906,2636.906,1.221
69,0.68,0.69,2636906,2636.906,1.221
70,0.69,0.7,2636906,2636.906,1.221
71,0.7,0.71,1128251,1128.251,0.522
